Source,Page,Type,Label/Title,Content
_Sector Statistics Report Q3 2025-2026.pdf,11,Chart,Figure 4: Mobile Data Subscriptions,"| Source: CA, Operators’ Returns  | Figure 4: Mobile Data Subscriptions  |   | 3 Mobile broadband includes 3G, 4G and 5G  |"
_Sector Statistics Report Q3 2025-2026.pdf,12,Chart,"previous quarter. Figure 5 shows mobile broadband consumption across 3G, 4G and 5G technologies.","| Notably, mobile broadband consumption rose to 800,027,716 GB representing a growth of 6.0 per cent from  | previous quarter. Figure 5 shows mobile broadband consumption across 3G, 4G and 5G technologies.  |   |   |   |    |  Source: CA, Operators’ Returns  | Figure 5: Mobile Broadband Consumption  | During the quarter, the average mobile broadband consumption per subscription increased from 14.6 GB to  | 15.1 GB with 5G users recording the highest usage at 53.5 GB, as shown in Figure 6.  |"
_Sector Statistics Report Q3 2025-2026.pdf,12,Chart,Figure 5: Mobile Broadband Consumption,"|  Source: CA, Operators’ Returns  | Figure 5: Mobile Broadband Consumption  | During the quarter, the average mobile broadband consumption per subscription increased from 14.6 GB to  | 15.1 GB with 5G users recording the highest usage at 53.5 GB, as shown in Figure 6.  |   |   |    |   |   | Source: CA, Operators’ Returns  | Figure 6: Mobile Broadband Consumption per Broadband Subscription"
_Sector Statistics Report Q3 2025-2026.pdf,12,Chart,"15.1 GB with 5G users recording the highest usage at 53.5 GB, as shown in Figure 6.","Figure 5: Mobile Broadband Consumption  | During the quarter, the average mobile broadband consumption per subscription increased from 14.6 GB to  | 15.1 GB with 5G users recording the highest usage at 53.5 GB, as shown in Figure 6.  |   |   |    |   |   | Source: CA, Operators’ Returns  | Figure 6: Mobile Broadband Consumption per Broadband Subscription  |"
_Sector Statistics Report Q3 2025-2026.pdf,12,Chart,Figure 6: Mobile Broadband Consumption per Broadband Subscription,"| Source: CA, Operators’ Returns  | Figure 6: Mobile Broadband Consumption per Broadband Subscription  |"
_Sector Statistics Report Q3 2025-2026.pdf,13,Chart,"(68.9%), mobile broadband (64.5%) and mobile money (89.1%) as shown in Figure 7.","1.5 Market Shares in Subscriptions for Mobile Services  | During the reference period, Safaricom PLC maintained the highest market share in mobile subscriptions  | (68.9%), mobile broadband (64.5%) and mobile money (89.1%) as shown in Figure 7.   |   |   |   |   | Source: CA, Operators’ Returns  | Figure 7: Mobile Market Shares  |   | 1.6 Mobile Phone Devices   | Mobile phone devices connected to mobile networks totaled 78.7 million translating to a penetration rate4 of"
_Sector Statistics Report Q3 2025-2026.pdf,13,Chart,Figure 7: Mobile Market Shares,"| Source: CA, Operators’ Returns  | Figure 7: Mobile Market Shares  |   | 1.6 Mobile Phone Devices   | Mobile phone devices connected to mobile networks totaled 78.7 million translating to a penetration rate4 of  | 147.6 per cent as the end of reference period. Smartphones accounted for the largest share of 63.7 per cent  | of the total mobile phones.   |   |   | 4 Penetration Rate is calculated as a percent of total population  |"
_Sector Statistics Report Q3 2025-2026.pdf,14,Chart,Figure 8: Mobile Phone Devices,"| Source: CA, Operators’ Returns  | Figure 8: Mobile Phone Devices  |   | 1.7 Domestic Mobile Voice and SMS Traffic   | During the quarter under review, total domestic mobile voice minutes grew by 2.6 per cent to post 32.3  | billion minutes. On-net and off-net voice minutes were recorded at 27.1 billion and 5.2 billion minutes  | respectively. On the other hand, domestic SMS traffic dropped by 2.7 percent to 13.98 billion messages,  | with 12.7 billion on-net and 1.26 billion off net messages.  |   | Table 2:Domestic Mobile Traffic per Operator  | Name of Operator /Indicator"
_Sector Statistics Report Q3 2025-2026.pdf,15,Chart,Figure 9: Market Shares in Domestic Mobile Voice and SMS,"| Source: CA, Operators’ Returns  | Figure 9: Market Shares in Domestic Mobile Voice and SMS  |   | 1.9  Minutes/Month/Subscription vs SMS/Month/Subscription  | Minutes of Use (MoU) per subscription per month declined to 128.1 minutes from 133.9 minutes recorded  | in the preceding quarter. Similarly, the number of short messages sent per subscription per month dropped  | from 61 to 55 messages. This decline is attributable to increased customer preference for internet based  | services such as WhatsApp.  |"
_Sector Statistics Report Q3 2025-2026.pdf,16,Chart,Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription,"| Source: CA, Operators’ Returns  | Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription  |   | 1.10 International Mobile Traffic  | As shown in Table 4, total international incoming and  outgoing mobile voice traffic in minutes increased by  | 2.1 and 4.3 percent to 176.4 million minutes and 192.8 million minutes respectively. On the contrary, the  | incoming and outgoing international mobile SMS dropped to recorded at 5.1 million and 2.2 million  | messages, respectively.  |   | Table 4: International Mobile Traffic   | Indicator/Period"
